Rdr,Cedr,M,Cym,a0,Cydop,Cya,Cxm,A,M_H_ptilda,Ptilda0,Ptilda2,Ptilda4,Ptilda6,Ptilda8,Ptilda10,Ptilda11,M_H_ce,Cetilda0,Cetilda2,Cetilda4,Cetilda6,Cetilda8,Cetilda10,Cetilda11,Cx_type3,Cy_type3,Cx_type2,Cy_type2,Cx_type1,Cy_type1,Cy_a_type2,alpha_type2,Cy_a_type1,alpha_type1,Cy_a_type3,alpha_type3,H,P_H,Ro_H,delta,square_delta,a_H,M_stab,K_go,Cy0_bgo,Cya_bgo,C_alphago_y_go,e_alpha,mz_otn_omega_z_bgo,n_v,otn_x_f_bgo,mz0_bgo
0,2.04,0.1,0.145,0.02844,1.125,5.23165616608348,0.0291,0.06,0,1,0.883,0.67,0.565,0.432,0.318,0.258,0.1,1.016,1.003,0.991,0.925,0.859,0.774,0.732,0.2,0.12,0.175,0.5,0.115,0.5,0,-8,0,-5,0,-1.19,0,101325,1.225,1,1,340.29,0.2,0.95,0.718,5.3,4,0.38,3.3,0.285,0.255,-0.13
0.1,1.83,0.15,0.145,0.02844,1.125,5.22857113782887,0.0291,0.06,0.05,0.974,0.861,0.661,0.559,0.432,0.32,0.261,0.15,1.043,1.026,1.041,0.976,0.911,0.826,0.784,0.1921,0.27,0.168,0.75,0.107,0.75,0.314,-5,0.45,0,0.118,0,1,89876,1.112,0.908,1.049,336.43,0.3,0.95,0.718,5.3,4,0.38,3.3,0.285,0.255,-0.13
0.2,1.65,0.2,0.145,0.02844,1.125,5.22548610957425,0.0291,0.06,0.1,0.938,0.838,0.653,0.552,0.431,0.323,0.265,0.2,1.07,1.05,1.091,1.027,0.963,0.878,0.836,0.189,0.5,0.1685,1,0.1087,1,0.8,0,0.9,5,0.53,5,2,79501,1.007,0.822,1.103,332.53,0.5,0.95,0.676,5.37,3.89,0.36,3.3,0.285,0.255,-0.137
0.3,1.48,0.25,0.145,0.02849,1.125,5.22240108131965,0.0291,0.06,0.15,0.906,0.815,0.644,0.546,0.431,0.325,0.268,0.25,1.097,1.074,1.14,1.078,1.015,0.93,0.888,0.1929,0.75,0.1764,1.25,0.12,1.25,1.271,5,1.35,10,0.985,10,3,70121,0.909,0.742,1.161,328.58,0.7,0.944,0.616,5.8,4.3,0.312,3.5,0.277,0.261,-0.142
0.4,1.33,0.3,0.145,0.02864,1.125,5.21907657055133,0.0293,0.06,0.2,0.873,0.793,0.636,0.54,0.43,0.327,0.272,0.3,1.123,1.097,1.19,1.129,1.067,0.982,0.94,0.2055,1,0.191,1.5,0.1433,1.5,1.72,10,1.793,15,,,4,61660,0.819,0.669,1.223,324.59,0.8,0.884,0.537,6.51,4.5,0.253,3.8,0.224,0.338,-0.153
0.5,1.19,0.35,0.145,0.02889,1.12,5.21600309084983,0.029,0.06,0.25,0.844,0.77,0.627,0.534,0.43,0.33,0.275,0.35,1.15,1.12,1.24,1.18,1.119,1.034,0.992,0.2276,1.25,0.2173,1.75,0.18,1.731,2.15,15,1.9,18,,,5,54048,0.736,0.601,1.29,320.55,0.95,0.866,0.5,6.43,4.4,0.235,4.07,0.207,0.377,-0.142
0.6,1.06,0.4,0.145,0.02919,1.112,5.21282882411341,0.0291,0.06,0.3,0.814,0.748,0.619,0.528,0.43,0.332,0.279,0.4,1.18,1.148,1.29,1.231,1.171,1.086,1.044,,,0.25,2,0.22,1.824,2.271,18,1.8,19.68,,,6,47218,0.66,0.539,1.362,316.45,,,,,,,,,,
0.7,0.97,0.45,0.14485,0.02952,1.1,5.21734214320401,0.0294,0.06,0.35,0.788,0.726,0.611,0.522,0.429,0.334,0.282,0.45,1.215,1.177,1.339,1.282,1.222,1.138,1.095,,,,,,,2.2,20,,,,,7,41105,0.59,0.482,1.44,312.31,,,,,,,,,,
0.8,0.92,0.5,0.1445,0.02986,1.083,5.23341819440463,0.0296,0.06,0.4,0.761,0.705,0.602,0.515,0.429,0.337,0.286,0.5,1.247,1.203,1.388,1.328,1.274,1.19,1.147,,,,,,,,,,,,,8,35652,0.526,0.429,1.527,308.11,,,,,,,,,,
0.9,0.94,0.55,0.1438,0.03021,1.058,5.24952799648081,0.0301,0.063,0.45,0.737,0.683,0.591,0.509,0.427,0.339,0.29,0.55,1.283,1.235,1.437,1.37,1.315,1.242,1.199,,,,,,,,,,,,,9,30801,0.467,0.381,1.62,303.85,,,,,,,,,,
