M_H_ce,Cetilda0,Cetilda1,Cetilda2,Cetilda3,Cetilda4,Cetilda5,Cetilda6,Cetilda7,Cetilda8,Cetilda9,Cetilda10,Cetilda11
0.1,1.09553734149999,1.07742570038114,1.07136649576798,1.07303256688667,1.07994677794607,1.05816527461155,1.03594211665838,1.01309955003389,0.989349652508116,0.992714301708818,1.00650594074237,1.03480296187044
0.15,1.14437736655378,1.12272876385892,1.11346334784289,1.11269062042212,1.11768737227538,1.09606512240381,1.07403889357885,1.05144609518526,1.02802336640623,1.02824429263323,1.03816700694674,1.06158624762606
0.2,1.19321361770343,1.16831584950736,1.15556019991779,1.15234867395758,1.15542796660468,1.13396497019607,1.11213567049931,1.08979264033663,1.06669708030435,1.06377428355764,1.06982807315111,1.08836953338167
0.25,1.24405390292461,1.21608205097207,1.19765705199269,1.19200672749303,1.19316856093399,1.17186481798833,1.15023244741978,1.128139185488,1.10537079420246,1.09930427448204,1.10148913935548,1.11515281913728
0.3,1.29491714934728,1.26434361887524,1.24081082295665,1.23166478102848,1.23090915526329,1.20976466578059,1.18832922434024,1.16648573063937,1.14404450810058,1.13483426540645,1.13315020555985,1.1419361048929
0.35,1.34519471158646,1.31465289701667,1.28740607236554,1.27132283456394,1.26864974959259,1.24766451357285,1.22642600126071,1.20483227579074,1.18271822199869,1.17036425633086,1.16481127176422,1.17871939064851
0.4,1.39654014205735,1.36461017234102,1.33521213234043,1.31298450688556,1.3063903439219,1.28556436136511,1.26452277818117,1.24317882094211,1.22139193589681,1.20589424725527,1.19647233796859,1.21550267640413
0.45,1.4509552591976,1.41395559450132,1.384827551455,1.35829292348886,1.3441309382512,1.32346420915737,1.30261955510164,1.28152536609348,1.26006564979492,1.24142423817968,1.22813340417296,1.23228596215974
0.5,1.50195168766115,1.46456268371069,1.43342355400203,1.40567288113347,1.38478672490626,1.36164521018846,1.3407163320221,1.31987191124485,1.29873936369304,1.27695422910409,1.25979447037733,1.28906924791535
0.55,1.55239642569561,1.5149125533189,1.48146834896262,1.45408701483269,1.42867433063985,1.40340761834991,1.37987859077123,1.35803061796951,1.33741307759115,1.3124842200285,1.2914555365817,1.32585253367097
0.6,1.60284116373007,1.56431255114669,1.52894240925155,1.50117268384058,1.47551922821496,1.44621606431804,1.41956248091761,1.39568114840366,1.37347037743592,1.34746253860002,1.32311660278607,1.34263581942658
0.65,1.65328590176453,1.61371254897448,1.57690653070457,1.54567522031551,1.52191966905036,1.49061633532533,1.46148176881338,1.4346348747271,1.40949209429432,1.38152809752861,1.35552038399844,1.3610634661656
0.7,1.70373063979899,1.66311254680227,1.62491791914021,1.59057895724332,1.56572036863777,1.53348356010869,1.50284598792351,1.47464277478397,1.44787202544764,1.41707956217523,1.38821091541281,1.41202767729832
0.75,1.75417537783345,1.71251254463006,1.67292930757584,1.63665465000204,1.60622290805917,1.57447498064167,1.54339661682316,1.51344938776911,1.48586428631826,1.45352505825624,1.42235147884509,1.45322473432877
0.8,1.80462011586791,1.76191254245785,1.72094069601148,1.68273034276076,1.64931379475859,1.61496998442885,1.58280741694648,1.55202256758738,1.52277527034623,1.4894899530159,1.45688261128246,1.4650217890202
0.85,1.85506485390237,1.81131254028565,1.76895208444711,1.72880603551947,1.69250407916052,1.65624864791023,1.6218073490334,1.58988814401568,1.559954010525,1.52554496039834,1.49173644077515,1.49874305126205
0.9,1.90550959193683,1.86071253811344,1.81696347288275,1.77488172827819,1.73569436356245,1.69752731139161,1.66073430213812,1.62585155326845,1.59373601430116,1.56065626231387,1.52696219357926,1.49271587582047
0.95,1.95595432997129,1.91011253594123,1.86497486131838,1.82095742103691,1.77888464796437,1.73880597487299,1.69966125524285,1.66181496252122,1.6258495755804,1.59408235395659,1.56160932637116,1.52850180419436
1,2.00639906800575,1.95951253376902,1.91298624975402,1.86703311379563,1.8220749323663,1.78008463835436,1.73858820834757,1.69777837177399,1.65796313685964,1.62750844559931,1.59625645916307,1.56428773256825
