Rdr,Cedr,M,Cym,a0,Cydop,Cya,Cxm,A,M_H_ptilda,Ptilda0,Ptilda2,Ptilda4,Ptilda6,Ptilda8,Ptilda10,Ptilda11,M_H_ce,Cetilda0,Cetilda2,Cetilda4,Cetilda6,Cetilda8,Cetilda10,Cetilda11,Cx_type3,Cy_type3,Cx_type2,Cy_type2,Cx_type1,Cy_type1,Cy_a_type2,alpha_type2,Cy_a_type1,alpha_type1,Cy_a_type3,alpha_type3,H,P_H,Ro_H,delta,square_delta,a_H,M_stab,K_go,Cy0_bgo,Cya_bgo,C_alphago_y_go,e_alpha,mz_otn_omega_z_bgo,n_v,otn_x_f_bgo,mz0_bgo
0,2.04,0.1,0.145,-0.0132,1.125,5.5,0.0235,0.07,0,1,0.92,0.84,0.69,0.59,0.44,0.38,0.1,1.016,1.003,1.002,0.992,0.985,0.98,0.965,0.2,0.12,0.175,0.5,0.115,0.5,0,-8,0,-5,0,-1.19,0,101325,1.225,1,1,340.29,0.2,0.95,0.718,5.3,4,0.38,3.3,0.285,0.255,-0.13
0.1,1.83,0.15,0.145,-0.0132,1.125,5.5,0.0235,0.07,0.05,0.9675,0.8885,0.808,0.665,0.5675,0.425,0.365,0.15,1.043,1.026,1.021,1.01,1,0.992,0.977,0.1921,0.27,0.168,0.75,0.107,0.75,0.314,-5,0.45,0,0.118,0,1,89876,1.112,0.908,1.049,336.43,0.3,0.95,0.718,5.3,4,0.38,3.3,0.285,0.255,-0.13
0.2,1.65,0.2,0.145,-0.0132,1.125,5.5,0.0235,0.07,0.1,0.935,0.857,0.776,0.64,0.545,0.41,0.35,0.2,1.07,1.05,1.04,1.028,1.015,1.005,0.99,0.189,0.5,0.1685,1,0.1087,1,0.8,0,0.9,5,0.53,5,2,79501,1.007,0.822,1.103,332.53,0.5,0.95,0.676,5.37,3.89,0.36,3.3,0.285,0.255,-0.137
0.3,1.48,0.25,0.145,-0.01315,1.125,5.5,0.0235,0.07,0.15,0.906,0.831,0.742,0.617,0.527,0.3985,0.3375,0.25,1.097,1.074,1.059,1.0456,1.03,1.0184,1.0032,0.1929,0.75,0.1764,1.25,0.12,1.25,1.271,5,1.35,10,0.985,10,3,70121,0.909,0.742,1.161,328.58,0.7,0.944,0.616,5.8,4.3,0.312,3.5,0.277,0.261,-0.142
0.4,1.33,0.3,0.145,-0.013,1.125,5.5,0.0235,0.07,0.2,0.878,0.805,0.715,0.595,0.51,0.387,0.325,0.3,1.123,1.097,1.079,1.0628,1.046,1.0318,1.0172,0.2055,1,0.191,1.5,0.1433,1.5,1.72,10,1.793,15,,,4,61660,0.819,0.669,1.223,324.59,0.8,0.884,0.537,6.51,4.5,0.253,3.8,0.224,0.338,-0.153
0.5,1.19,0.35,0.145,-0.01275,1.12,5.5,0.0235,0.07,0.25,0.8515,0.78,0.6915,0.58,0.495,0.3785,0.3175,0.35,1.15,1.12,1.101,1.08,1.063,1.0464,1.0311,0.2276,1.25,0.2173,1.75,0.18,1.731,2.15,15,1.9,18,,,5,54048,0.736,0.601,1.29,320.55,0.95,0.866,0.5,6.43,4.4,0.235,4.07,0.207,0.377,-0.142
0.6,1.06,0.4,0.145,-0.01245,1.112,5.5,0.0235,0.07,0.3,0.825,0.755,0.668,0.565,0.48,0.37,0.31,0.4,1.18,1.148,1.124,1.1,1.08,1.0642,1.0483,,,0.25,2,0.22,1.824,2.271,18,1.8,19.68,,,6,47218,0.66,0.539,1.362,316.45,,,,,,,,,,
0.7,0.97,0.45,0.14485,-0.01212,1.1,5.5,0.0235,0.07,0.35,0.805,0.734,0.646,0.552,0.47,0.3635,0.3065,0.45,1.215,1.177,1.15,1.125,1.102,1.0852,1.068,,,,,,,2.2,20,,,,,7,41105,0.59,0.482,1.44,312.31,,,,,,,,,,
0.8,0.92,0.5,0.1445,-0.01178,1.083,5.5,0.0235,0.07,0.4,0.785,0.713,0.63,0.54,0.46,0.357,0.303,0.5,1.247,1.203,1.173,1.15,1.125,1.1074,1.0883,,,,,,,,,,,,,8,35652,0.526,0.429,1.527,308.11,,,,,,,,,,
0.9,0.94,0.55,0.1438,-0.01143,1.058,5.503,0.0235,0.073,0.45,0.77,0.699,0.615,0.5315,0.456,0.3565,0.302,0.55,1.283,1.235,1.2,1.176,1.15,1.131,1.1119,,,,,,,,,,,,,9,30801,0.467,0.381,1.62,303.85,,,,,,,,,,
1,1,0.6,0.1413,-0.01108,1.033,5.6,0.0235,0.077,0.5,0.758,0.685,0.603,0.523,0.453,0.3565,0.301,0.6,1.32,1.268,1.225,1.201,1.174,1.1538,1.1341,,,,,,,,,,,,,10,26500,0.414,0.338,1.72,299.53,,,,,,,,,,
,,0.65,0.1373,-0.01068,1.005,5.85,0.0235,0.085,0.55,0.749,0.672,0.593,0.516,0.451,0.357,0.303,0.65,1.357,1.3,1.252,1.223,1.195,1.1754,1.157,,,,,,,,,,,,,11,22700,0.365,0.298,1.832,295.15,,,,,,,,,,
,,0.7,0.1308,-0.0102,0.977,6.15,0.0235,0.093,0.6,0.74,0.665,0.583,0.514,0.45,0.358,0.305,0.7,1.393,1.33,1.278,1.246,1.215,1.1945,1.1786,,,,,,,,,,,,,12,19399,0.312,0.255,1.98,295.07,,,,,,,,,,
,,0.75,0.12,-0.00972,0.943,6.38,0.0235,0.104,0.65,0.736,0.6615,0.576,0.512,0.453,0.3605,0.31,0.75,1.426,1.365,1.303,1.267,1.235,1.2148,1.1996,,,,,,,,,,,,,13,16580,0.267,0.218,2.142,295.07,,,,,,,,,,
,,0.8,0.104,-0.00924,0.903,6.55,0.0243,0.117,0.7,0.732,0.658,0.571,0.51,0.456,0.363,0.315,0.8,1.456,1.39,1.326,1.288,1.256,1.2345,1.2199,,,,,,,,,,,,,14,14170,0.228,0.186,2.319,295.07,,,,,,,,,,
,,0.85,0.084,-0.00875,0.86,6.59,0.0258,0.137,0.75,0.731,0.6567,0.567,0.511,0.4615,0.3695,0.324,0.85,1.476,1.413,1.343,1.305,1.273,1.253,1.239,,,,,,,,,,,,,15,12112,0.195,0.159,2.508,295.07,,,,,,,,,,
,,0.9,0.0623,-0.0082,0.807,6.55,0.0292,0.162,0.8,0.73,0.656,0.567,0.512,0.467,0.376,0.333,0.9,1.492,1.43,1.356,1.322,1.288,1.2689,1.2568,,,,,,,,,,,,,16,10353,0.166,0.136,2.712,295.07,,,,,,,,,,
,,0.95,0.04,-0.0075,0.75,6.49,0.04,0.2,0.85,0.734,0.658,0.572,0.517,0.473,0.389,0.3465,0.95,1.506,1.445,1.368,1.336,1.303,1.286,1.272,,,,,,,,,,,,,17,8850,0.142,0.116,2.936,295.07,,,,,,,,,,
,,,,,,,,,0.9,0.738,0.661,0.58,0.523,0.479,0.402,0.36,1,1.517,1.46,1.38,1.35,1.318,1.3013,1.2879,,,,,,,,,,,,,18,7565,0.122,0.1,3.162,295.07,,,,,,,,,,
,,,,,,,,,0.95,0.744,0.6655,0.5875,0.5315,0.486,0.4195,0.375,,,,,,,,,,,,,,,,,,,,,19,6467,0.104,0.085,3.43,295.07,,,,,,,,,,
,,,,,,,,,1,0.75,0.67,0.597,0.54,0.493,0.437,0.39,,,,,,,,,,,,,,,,,,,,,20,5529,0.089,0.073,3.701,295.07,,,,,,,,,,
